Tarposition(deg)	position(deg)	Current(A)
0.00000000 198.41915894 0.04065190
0.00000000 198.69380188 0.04028846
0.00000000 199.18821716 0.03981328
0.00000000 199.51780701 0.04001904
0.00000000 199.73754883 0.04026569
0.00000000 199.90232849 0.04082284
0.00000000 200.12207031 0.04132516
0.00000000 200.34181213 0.04192173
0.00000000 200.61647034 0.04207760
0.00000000 200.89112854 0.04218163
0.00000000 201.55033875 0.04158083
0.00000000 201.98980713 0.04070779
0.00000000 202.48420715 0.04005849
0.00000000 202.92367554 0.03986894
0.00000000 203.25329590 0.03970424
0.00000000 203.52793884 0.03986161
0.00000000 203.74768066 0.04064063
0.00000000 203.85752869 0.04175972
0.00000000 203.91246033 0.04295289
0.00000000 203.96739197 0.04448357
0.00000000 204.07727051 0.04608556
0.00000000 204.07727051 0.04795259
0.00000000 204.13221741 0.04988499
0.00000000 204.18714905 0.05214247
0.00000000 204.18714905 0.05465742
0.00000000 204.18714905 0.05787544
0.00000000 204.18714905 0.06117451
0.00000000 204.24208069 0.06458902
0.00000000 204.24208069 0.06758519
0.00000000 204.24208069 0.07023885
0.00000000 204.29699707 0.07265475
0.00000000 204.29699707 0.07445045
0.00000000 204.35192871 0.07561609
0.00000000 204.40687561 0.07667040
0.00000000 204.40687561 0.07760430
0.00000000 204.46180725 0.07849422
0.00000000 204.51673889 0.07953930
0.00000000 204.57168579 0.08046797
0.00000000 204.57168579 0.08132558
0.00000000 204.57168579 0.08188983
0.00000000 204.62661743 0.08261928
0.00000000 204.62661743 0.08356120
0.00000000 204.68154907 0.08444062
0.00000000 204.68154907 0.08551227
0.00000000 204.73648071 0.08641636
0.00000000 204.79139709 0.08749972
0.00000000 204.79139709 0.08828187
0.00000000 204.84635925 0.08928858
0.00000000 204.90127563 0.09042538
0.00000000 204.90127563 0.09135970
0.00000000 204.95620728 0.09231812
0.00000000 205.01113892 0.09318773
0.00000000 205.06607056 0.09386855
0.00000000 205.12100220 0.09444882
0.00000000 205.17591858 0.09513892
0.00000000 205.28579712 0.09555175
0.00000000 205.34072876 0.09554147
0.00000000 205.45060730 0.09527975
0.00000000 205.67034912 0.09492312
0.00000000 205.83512878 0.09437313
0.00000000 206.05488586 0.09328514
0.00000000 206.38446045 0.09155907
