Tarposition(deg)	position(deg)	Current(A)	Tarposition2(deg)	position2(deg)	Current2(A)
286.00000000 644.69744873 0.11924368 0.00000000 0.00000000 0.00000000
287.00000000 616.79125977 0.11761342 0.00000000 0.00000000 0.00000000
288.00000000 590.14862061 0.11542694 0.00000000 0.00000000 0.00000000
289.00000000 553.61798096 0.11377853 0.00000000 0.00000000 0.00000000
290.00000000 528.12890625 0.11236772 0.00000000 0.00000000 0.00000000
291.00000000 494.78436279 0.11193932 0.00000000 0.00000000 0.00000000
292.00000000 466.93319702 0.11573585 0.00000000 0.00000000 0.00000000
293.00000000 437.32415771 0.11712208 0.00000000 0.00000000 0.00000000
294.00000000 410.35186768 0.11452086 0.00000000 0.00000000 0.00000000
295.00000000 384.20361328 0.11357298 0.00000000 0.00000000 0.00000000
296.00000000 371.56893921 0.11172620 0.00000000 0.00000000 0.00000000
297.00000000 346.79403687 0.10798242 0.00000000 0.00000000 0.00000000
298.00000000 322.23883057 0.10657270 0.00000000 0.00000000 0.00000000
299.00000000 295.87084961 0.10344481 0.00000000 0.00000000 0.00000000
300.00000000 262.58126831 0.09603883 0.00000000 0.00000000 0.00000000
301.00000000 238.79512024 0.09018379 0.00000000 0.00000000 0.00000000
302.00000000 206.87886047 0.05324080 0.00000000 0.00000000 0.00000000
303.00000000 181.77435303 0.04980116 0.00000000 0.00000000 0.00000000
304.00000000 147.05650330 0.05064663 0.00000000 0.00000000 0.00000000
305.00000000 118.98556519 0.05174327 0.00000000 0.00000000 0.00000000
306.00000000 88.16796875 0.05135430 0.00000000 0.00000000 0.00000000
307.00000000 59.38291550 0.05346897 0.00000000 0.00000000 0.00000000
308.00000000 34.60799026 0.05472696 0.00000000 0.00000000 0.00000000
309.00000000 8.56959820 0.05675698 0.00000000 0.00000000 0.00000000
310.00000000 16.58986092 0.06045569 0.00000000 0.00000000 0.00000000
311.00000000 43.17758560 0.06312445 0.00000000 0.00000000 0.00000000
312.00000000 75.64317322 0.06594915 0.00000000 0.00000000 0.00000000
313.00000000 103.49436951 0.06771519 0.00000000 0.00000000 0.00000000
314.00000000 133.70770264 0.08951727 0.00000000 0.00000000 0.00000000
315.00000000 158.42768860 0.08936483 0.00000000 0.00000000 0.00000000
316.00000000 190.17913818 0.09150843 0.00000000 0.00000000 0.00000000
317.00000000 217.37113953 0.10375083 0.00000000 0.00000000 0.00000000
318.00000000 242.36579895 0.11676490 0.00000000 0.00000000 0.00000000
319.00000000 268.34924316 0.11854229 0.00000000 0.00000000 0.00000000
320.00000000 293.06924438 0.11913443 0.00000000 0.00000000 0.00000000
321.00000000 318.66818237 0.11687709 0.00000000 0.00000000 0.00000000
322.00000000 348.93643188 0.11438534 0.00000000 0.00000000 0.00000000
323.00000000 376.34814453 0.11235945 0.00000000 0.00000000 0.00000000
324.00000000 398.59616089 0.10755745 0.00000000 0.00000000 0.00000000
325.00000000 419.47079468 0.10696019 0.00000000 0.00000000 0.00000000
326.00000000 443.58654785 0.10162333 0.00000000 0.00000000 0.00000000
327.00000000 460.01162720 0.09602179 0.00000000 0.00000000 0.00000000
328.00000000 478.68890381 0.08939410 0.00000000 0.00000000 0.00000000
329.00000000 491.37854004 0.07758275 0.00000000 0.00000000 0.00000000
330.00000000 503.46383667 0.06692719 0.00000000 0.00000000 0.00000000
331.00000000 513.46173096 0.06124561 0.00000000 0.00000000 0.00000000
332.00000000 521.31719971 0.05543895 0.00000000 0.00000000 0.00000000
333.00000000 528.45855713 0.04972612 0.00000000 0.00000000 0.00000000
334.00000000 533.89697266 0.04341218 0.00000000 0.00000000 0.00000000
335.00000000 538.12677002 0.03706896 0.00000000 0.00000000 0.00000000
336.00000000 541.86224365 0.03215591 0.00000000 0.00000000 0.00000000
337.00000000 543.83984375 0.02731988 0.00000000 0.00000000 0.00000000
338.00000000 544.77374268 0.02232433 0.00000000 0.00000000 0.00000000
339.00000000 544.77374268 0.01773016 0.00000000 0.00000000 0.00000000
340.00000000 543.78491211 0.01284146 0.00000000 0.00000000 0.00000000
341.00000000 542.08197021 0.00827845 0.00000000 0.00000000 0.00000000
342.00000000 539.50012207 0.00548479 0.00000000 0.00000000 0.00000000
343.00000000 536.09423828 0.00346257 0.00000000 0.00000000 0.00000000
344.00000000 531.97424316 0.00167935 0.00000000 0.00000000 0.00000000
345.00000000 526.97534180 0.00000595 0.00000000 0.00000000 0.00000000
346.00000000 520.38330078 0.00172441 0.00000000 0.00000000 0.00000000
347.00000000 514.01104736 0.00294565 0.00000000 0.00000000 0.00000000
348.00000000 507.47396851 0.00473479 0.00000000 0.00000000 0.00000000
349.00000000 500.11294556 0.00617973 0.00000000 0.00000000 0.00000000
350.00000000 491.43347168 0.00776397 0.00000000 0.00000000 0.00000000
351.00000000 483.52304077 0.00866580 0.00000000 0.00000000 0.00000000
352.00000000 475.11825562 0.00973176 0.00000000 0.00000000 0.00000000
353.00000000 464.90063477 0.01050374 0.00000000 0.00000000 0.00000000
354.00000000 454.79293823 0.01028079 0.00000000 0.00000000 0.00000000
355.00000000 445.28945923 0.01105600 0.00000000 0.00000000 0.00000000
356.00000000 430.95190430 0.01181365 0.00000000 0.00000000 0.00000000
357.00000000 415.24093628 0.01184961 0.00000000 0.00000000 0.00000000
358.00000000 404.96841431 0.01256704 0.00000000 0.00000000 0.00000000
359.00000000 394.25643921 0.01154296 0.00000000 0.00000000 0.00000000
360.00000000 383.48947144 0.01268807 0.00000000 0.00000000 0.00000000
361.00000000 372.17318726 0.01261206 0.00000000 0.00000000 0.00000000
362.00000000 360.85696411 0.01178396 0.00000000 0.00000000 0.00000000
363.00000000 349.26602173 0.01274442 0.00000000 0.00000000 0.00000000
364.00000000 336.85107422 0.01381786 0.00000000 0.00000000 0.00000000
365.00000000 323.99670410 0.01490036 0.00000000 0.00000000 0.00000000
366.00000000 311.08737183 0.01628698 0.00000000 0.00000000 0.00000000
367.00000000 298.39779663 0.01774273 0.00000000 0.00000000 0.00000000
